彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
万人牛牛,6,10701.00,10443.30,5.00,46.10,211.60,1.98%,20200527.xls
广西快3,9,10588.00,6401.77,12.00,0.45,4185.77,39.53%,20200527.xls
江苏快3,23,9300.00,12930.88,45.00,3.26,-3634.14,-39.08%,20200527.xls
北京快3,8,8696.00,8162.71,10.00,0.06,533.23,6.13%,20200527.xls
百人牛牛,8,8460.00,8520.90,0.00,38.70,-99.60,-1.18%,20200527.xls
湖北快3,11,8244.00,6186.96,81.00,0.64,2056.40,24.94%,20200527.xls
安徽快3,14,7463.00,9259.90,6.00,1.71,-1798.61,-24.10%,20200527.xls
上海快3,8,7334.00,5313.72,0.00,0.18,2020.10,27.54%,20200527.xls
山东11选5,16,7216.00,4575.77,508.00,19.24,2620.99,36.32%,20200527.xls
河北快3,9,7113.00,9322.38,0.00,0.39,-2209.77,-31.07%,20200527.xls
3分彩,2,7066.80,6934.40,0.00,0.00,132.40,1.87%,20200527.xls
红黑大战,11,6770.00,6233.90,0.00,1.33,534.77,7.90%,20200527.xls
江苏11选5,7,6642.00,5287.37,4.00,0.00,1354.63,20.39%,20200527.xls
广东11选5,13,6137.92,4629.17,150.00,1.48,1507.28,24.56%,20200527.xls
吉林快3,14,5293.00,5443.85,156.00,2.78,-153.63,-2.90%,20200527.xls
贵州快3,9,4912.00,4625.08,79.00,0.90,286.02,5.82%,20200527.xls
腾讯3分彩,3,4820.14,5702.56,0.00,0.00,-882.42,-18.31%,20200527.xls
传统疯狂飞艇,4,4530.00,3648.89,0.00,0.00,881.11,19.45%,20200527.xls
奔驰宝马,6,4085.00,4283.15,0.00,16.50,-214.65,-5.25%,20200527.xls
江西11选5,10,4023.60,4463.43,21.00,0.58,-440.41,-10.95%,20200527.xls
飞禽走兽,5,3660.00,3623.45,0.00,26.35,10.20,0.28%,20200527.xls
澳门六合彩,6,3303.00,1100.27,10.00,0.04,2202.69,66.69%,20200527.xls
甘肃快3,8,3193.00,4892.42,0.00,0.27,-1699.69,-53.23%,20200527.xls
梭哈,7,3155.00,1804.95,0.00,0.50,1349.55,42.77%,20200527.xls
上海11选5,9,3119.40,1178.16,280.00,1.06,1940.18,62.20%,20200527.xls
万人射龙门,2,2800.00,2880.00,0.00,0.00,-80.00,-2.86%,20200527.xls
1分幸运28,4,2053.00,1783.85,0.00,0.00,269.15,13.11%,20200527.xls
传统北京赛车,4,1208.00,695.41,0.00,0.00,512.59,42.43%,20200527.xls
5分赛车,9,1139.30,1355.52,0.00,5.52,-221.74,-19.46%,20200527.xls
百人炸金花,3,1010.00,767.40,0.00,0.90,241.70,23.93%,20200527.xls
百人三公,3,1000.00,922.20,0.00,9.25,68.55,6.86%,20200527.xls
万人红黑大战,5,936.00,931.53,0.00,0.12,4.35,0.46%,20200527.xls
5分六合,4,799.00,1361.87,4.00,0.00,-562.87,-70.45%,20200527.xls
百人牌九,3,555.00,559.90,0.00,6.00,-10.90,-1.96%,20200527.xls
腾讯5分彩,3,533.00,453.10,0.00,0.00,79.90,14.99%,20200527.xls
万人炸金花,1,390.00,472.80,0.00,0.00,-82.80,-21.23%,20200527.xls
5分彩,1,370.00,551.60,0.00,0.00,-181.60,-49.08%,20200527.xls
万人百家乐,4,200.00,190.00,0.00,0.08,9.92,4.96%,20200527.xls
传统3分赛车,3,106.00,151.17,0.00,0.00,-45.17,-42.61%,20200527.xls
百人德扑,1,60.00,19.80,0.00,0.00,40.20,67.00%,20200527.xls
秒秒彩,1,60.00,0.00,0.00,0.00,60.00,100.00%,20200527.xls
传统5分赛车,1,34.00,19.80,0.00,0.00,14.20,41.76%,20200527.xls
万人德扑,1,30.00,0.00,0.00,0.12,29.88,99.60%,20200527.xls
传统10分快3,1,11.00,11.88,0.00,0.00,-0.88,-8.00%,20200527.xls
台湾宾果,1,0.08,0.08,0.00,0.00,0.00,0.00%,20200527.xls
